Codec,Direction,Mode,Width,Height,Components,BitDepth,EncTime_ms,DecTime_ms,Size,MAE,Status
J2K,Rust->Ext,Lossless,512,512,1,8,26,54,2124,0.0000,Read Error
J2K,Ext->Rust,Lossless,512,512,1,8,76,54,2124,0.0000,Ext Enc Fail
JLS,Rust->Ext,Lossless,512,512,1,8,34,19,40801,0.0000,Ext Dec Fail
JLS,Ext->Rust,Lossless,512,512,1,8,79,521,40801,0.0000,OK
J2K,Rust->Ext,Lossless,512,512,1,10,15,73,525,0.0000,OK
J2K,Ext->Rust,Lossless,512,512,1,10,40,73,0,0.0000,Dec Fail: InvalidData
JLS,Rust->Ext,Lossless,512,512,1,10,45,33,35028,0.0000,Ext Dec Fail
JLS,Ext->Rust,Lossless,512,512,1,10,22,33,35028,0.0000,Ext Enc Fail
J2K,Rust->Ext,Lossless,512,512,1,12,19,52,659,0.0000,OK
J2K,Ext->Rust,Lossless,512,512,1,12,37,153,649,0.0000,OK
JLS,Rust->Ext,Lossless,512,512,1,12,67,15,35083,0.0000,Ext Dec Fail
JLS,Ext->Rust,Lossless,512,512,1,12,23,15,35083,0.0000,Ext Enc Fail
J2K,Rust->Ext,Lossless,512,512,1,16,52,33,850,0.0000,Ext Dec Fail
J2K,Ext->Rust,Lossless,512,512,1,16,61,259,846,24788.0036,OK
JLS,Rust->Ext,Lossless,512,512,1,16,75,69,35445,0.0000,OK
JLS,Ext->Rust,Lossless,512,512,1,16,61,820,35445,0.0000,OK
J2K,Rust->Ext,Lossless,1024,1024,1,8,70,191,36294,0.3241,OK
J2K,Ext->Rust,Lossless,1024,1024,1,8,116,627,35958,0.3241,OK
JLS,Rust->Ext,Lossless,1024,1024,1,8,52,18,102067,0.0000,Ext Dec Fail
JLS,Ext->Rust,Lossless,1024,1024,1,8,20,18,102067,0.0000,Ext Enc Fail
J2K,Rust->Ext,Lossless,1024,1024,1,10,74,226,4277,0.2540,OK
J2K,Ext->Rust,Lossless,1024,1024,1,10,152,594,3853,0.2540,OK
JLS,Rust->Ext,Lossless,1024,1024,1,10,163,36,140056,0.0000,Ext Dec Fail
JLS,Ext->Rust,Lossless,1024,1024,1,10,31,36,140056,0.0000,Ext Enc Fail
J2K,Rust->Ext,Lossless,1024,1024,1,12,64,260,1402,0.0000,OK
J2K,Ext->Rust,Lossless,1024,1024,1,12,168,617,1336,0.0000,OK
JLS,Rust->Ext,Lossless,1024,1024,1,12,171,40,139950,0.0000,Ext Dec Fail
JLS,Ext->Rust,Lossless,1024,1024,1,12,43,40,139950,0.0000,Ext Enc Fail
J2K,Rust->Ext,Lossless,1024,1024,1,16,109,219,1899,19491.8928,OK
J2K,Ext->Rust,Lossless,1024,1024,1,16,101,501,1848,24517.3484,OK
JLS,Rust->Ext,Lossless,1024,1024,1,16,666,53,140193,0.0000,OK
JLS,Ext->Rust,Lossless,1024,1024,1,16,40,2356,140193,0.0000,OK
