Codec,Direction,Width,Height,Components,BitDepth,EncTime_ms,DecTime_ms,Size,MAE,Status
J2K,Rust->Ext,512,512,1,8,86,146,7526,0.2374,OK
J2K,Ext->Rust,512,512,1,8,71,69,7511,0.2374,OK
JLS,Rust->Ext,512,512,1,8,54,38,35015,0.0000,OK
JLS,Ext->Rust,512,512,1,8,27,38,35015,0.0000,Dec Failed: InvalidData
HTJ2K,Rust->Ext,512,512,1,8,13,31,6923,0.0000,PGM Read Error
HTJ2K,Ext->Rust,512,512,1,8,24,31,6923,0.0000,Ext Enc Failed
J1,Rust->Ext,512,512,1,8,65,52,12816,2.2046,OK
J1,Ext->Rust,512,512,1,8,78,0,14468,127.5000,OK
J2K,Rust->Ext,1024,1024,1,8,220,203,28693,0.2218,OK
J2K,Ext->Rust,1024,1024,1,8,102,196,28503,0.2218,OK
JLS,Rust->Ext,1024,1024,1,8,177,37,139880,0.0000,OK
JLS,Ext->Rust,1024,1024,1,8,46,820,139880,106.6108,OK
HTJ2K,Rust->Ext,1024,1024,1,8,35,63,27036,0.0000,PGM Read Error
HTJ2K,Ext->Rust,1024,1024,1,8,42,63,27036,0.0000,Ext Enc Failed
J1,Rust->Ext,1024,1024,1,8,218,72,50312,2.2046,OK
J1,Ext->Rust,1024,1024,1,8,30,0,56860,127.5000,OK
J2K,Rust->Ext,2048,2048,1,8,787,539,112732,0.2126,OK
J2K,Ext->Rust,2048,2048,1,8,326,699,111799,0.2126,OK
JLS,Rust->Ext,2048,2048,1,8,514,117,559322,0.0000,OK
JLS,Ext->Rust,2048,2048,1,8,130,2017,559322,112.8747,OK
HTJ2K,Rust->Ext,2048,2048,1,8,200,150,107232,0.0000,PGM Read Error
HTJ2K,Ext->Rust,2048,2048,1,8,77,150,107232,0.0000,Ext Enc Failed
J1,Rust->Ext,2048,2048,1,8,705,280,200280,2.2046,OK
J1,Ext->Rust,2048,2048,1,8,42,0,226414,127.5000,OK
