Codec,Direction,Mode,Width,Height,Components,BitDepth,EncTime_ms,DecTime_ms,Size,MAE,Status
J2K,Rust->Ext,Lossless,512,512,1,8,15,94,2102,0.2628,OK
J2K,Ext->Rust,Lossless,512,512,1,8,75,16,2060,0.2628,OK
JLS,Rust->Ext,Lossless,512,512,1,8,24,108,40801,0.0000,OK
JLS,Ext->Rust,Lossless,512,512,1,8,31,108,40801,0.0000,Dec Fail: InvalidData
J2K,Rust->Ext,Lossy,512,512,1,8,77,66,251157,82.8623,OK
J2K,Ext->Rust,Lossy,512,512,1,8,32,8,176,11.6051,OK
J1,Rust->Ext,Lossy,512,512,1,8,52,48,4448,0.8752,OK
J1,Ext->Rust,Lossy,512,512,1,8,38,0,8063,126.7510,OK
J2K,Rust->Ext,Lossless,512,512,1,10,15,65,505,0.0000,OK
J2K,Ext->Rust,Lossless,512,512,1,10,41,11,512,0.0000,OK
JLS,Rust->Ext,Lossless,512,512,1,10,40,27,35028,0.0000,OK
JLS,Ext->Rust,Lossless,512,512,1,10,33,3,35028,510.2878,OK
J2K,Rust->Ext,Lossless,512,512,1,12,14,68,639,0.0000,OK
J2K,Ext->Rust,Lossless,512,512,1,12,45,13,649,0.0000,OK
JLS,Rust->Ext,Lossless,512,512,1,12,43,29,35083,0.0000,OK
JLS,Ext->Rust,Lossless,512,512,1,12,22,29,35083,0.0000,Dec Fail: InvalidData
J2K,Rust->Ext,Lossless,512,512,1,16,16,27,830,0.0000,Ext Dec Fail
J2K,Ext->Rust,Lossless,512,512,1,16,36,10,846,24788.0036,OK
JLS,Rust->Ext,Lossless,512,512,1,16,36,24,35445,0.0000,OK
JLS,Ext->Rust,Lossless,512,512,1,16,22,24,35445,0.0000,Dec Fail: InvalidData
J2K,Rust->Ext,Lossless,512,512,3,8,50,110,17939,0.6258,OK
J2K,Ext->Rust,Lossless,512,512,3,8,59,51,14599,0.5061,OK
J1,Rust->Ext,Lossy,512,512,3,8,144,38,11330,1.2916,OK
J1,Ext->Rust,Lossy,512,512,3,8,19,0,9143,126.7516,OK
J2K,Rust->Ext,Lossless,1024,1024,1,8,61,145,36269,0.3241,OK
J2K,Ext->Rust,Lossless,1024,1024,1,8,73,72,35958,0.3241,OK
JLS,Rust->Ext,Lossless,1024,1024,1,8,58,20,102067,0.0000,OK
JLS,Ext->Rust,Lossless,1024,1024,1,8,27,21,102067,126.4450,OK
J2K,Rust->Ext,Lossy,1024,1024,1,8,355,140,1093012,47.0036,OK
J2K,Ext->Rust,Lossy,1024,1024,1,8,69,37,216,13.0354,OK
J1,Rust->Ext,Lossy,1024,1024,1,8,190,60,14749,0.5538,OK
J1,Ext->Rust,Lossy,1024,1024,1,8,28,0,16835,126.8755,OK
J2K,Rust->Ext,Lossless,1024,1024,1,10,74,188,4254,0.2540,OK
J2K,Ext->Rust,Lossless,1024,1024,1,10,147,89,3853,0.2540,OK
JLS,Rust->Ext,Lossless,1024,1024,1,10,217,44,140056,0.0000,Ext Dec Fail
JLS,Ext->Rust,Lossless,1024,1024,1,10,54,6,140056,511.0403,OK
J2K,Rust->Ext,Lossless,1024,1024,1,12,47,195,1381,0.0000,OK
J2K,Ext->Rust,Lossless,1024,1024,1,12,108,64,1336,0.0000,OK
JLS,Rust->Ext,Lossless,1024,1024,1,12,201,42,139950,0.0000,OK
JLS,Ext->Rust,Lossless,1024,1024,1,12,61,42,139950,0.0000,Dec Fail: InvalidData
J2K,Rust->Ext,Lossless,1024,1024,1,16,62,191,1876,19491.8928,OK
J2K,Ext->Rust,Lossless,1024,1024,1,16,99,44,1848,24517.3484,OK
JLS,Rust->Ext,Lossless,1024,1024,1,16,152,41,140193,0.0000,OK
JLS,Ext->Rust,Lossless,1024,1024,1,16,39,41,140193,0.0000,Dec Fail: InvalidData
J2K,Rust->Ext,Lossless,1024,1024,3,8,189,430,91791,0.6388,OK
J2K,Ext->Rust,Lossless,1024,1024,3,8,168,197,92222,0.5438,OK
J1,Rust->Ext,Lossy,1024,1024,3,8,530,121,33821,0.9711,OK
J1,Ext->Rust,Lossy,1024,1024,3,8,34,0,27435,126.8758,OK
