    Finished `release` profile [optimized] target(s) in 0.08s
     Running tests/reproduce_64x64.rs (target/release/deps/reproduce_64x64-1425916a01476efb)

running 1 test
Generated test_64_ref.j2k: 2224 bytes
[CBLK_PRE] res=0, band=0, cb=(0,0), size=64x64, max_bp=Some(7), has_nz=true, max_abs=128, coeffs=[-128, -126, -124, -122, -120, -118, -116, -114, -112, -110, -108, -106, -104, -102, -100, -98]
[MQ] Symbol #1: d=1, cx=17
[MQ] Symbol #2: d=0, cx=18
[MQ] Symbol #3: d=0, cx=18
[MQ] Symbol #4: d=1, cx=9
[MQ] Symbol #5: d=0, cx=3
[MQ] Symbol #6: d=0, cx=0
[MQ] Symbol #7: d=0, cx=0
[MQ] Symbol #8: d=0, cx=5
[MQ] Symbol #9: d=0, cx=1
[MQ] Symbol #10: d=0, cx=0
[MQ] Symbol #11: d=0, cx=0
[MQ] Symbol #12: d=0, cx=17
[MQ] Symbol #13: d=0, cx=17
[MQ] Symbol #14: d=0, cx=17
[MQ] Symbol #15: d=0, cx=17
[MQ] Symbol #16: d=0, cx=17
[MQ] Symbol #17: d=0, cx=17
[MQ] Symbol #18: d=0, cx=17
[MQ] Symbol #19: d=0, cx=17
[MQ] Symbol #20: d=0, cx=17
[MQ] Symbol #21: d=0, cx=17
[MQ] Symbol #22: d=0, cx=17
[MQ] Symbol #23: d=0, cx=17
[MQ] Symbol #24: d=0, cx=17
[MQ] Symbol #25: d=0, cx=17
[MQ] Symbol #26: d=0, cx=17
[MQ] Symbol #27: d=0, cx=17
[MQ] Symbol #28: d=0, cx=17
[MQ] Symbol #29: d=0, cx=17
[MQ] Symbol #30: d=0, cx=17
[MQ] Symbol #31: d=0, cx=17
[MQ] Symbol #32: d=0, cx=17
[MQ] Symbol #33: d=0, cx=17
[MQ] Symbol #34: d=0, cx=17
[MQ] Symbol #35: d=0, cx=17
[MQ] Symbol #36: d=0, cx=17
[MQ] Symbol #37: d=0, cx=17
[MQ] Symbol #38: d=0, cx=17
[MQ] Symbol #39: d=0, cx=17
[MQ] Symbol #40: d=0, cx=17
[MQ] Symbol #41: d=0, cx=17
[MQ] Symbol #42: d=0, cx=17
[MQ] Symbol #43: d=0, cx=17
[MQ] Symbol #44: d=0, cx=17
[MQ] Symbol #45: d=0, cx=17
[MQ] Symbol #46: d=0, cx=17
[MQ] Symbol #47: d=0, cx=17
[MQ] Symbol #48: d=0, cx=17
[MQ] Symbol #49: d=0, cx=17
[MQ] Symbol #50: d=0, cx=17
[MQ] Symbol #51: d=0, cx=17
[MQ] Symbol #52: d=0, cx=17
[MQ] Symbol #53: d=0, cx=17
[MQ] Symbol #54: d=0, cx=17
[MQ] Symbol #55: d=0, cx=17
[MQ] Symbol #56: d=0, cx=17
[MQ] Symbol #57: d=0, cx=17
[MQ] Symbol #58: d=0, cx=17
[MQ] Symbol #59: d=0, cx=17
[MQ] Symbol #60: d=0, cx=17
[MQ] Symbol #61: d=0, cx=17
[MQ] Symbol #62: d=0, cx=17
[MQ] Symbol #63: d=0, cx=17
[MQ] Symbol #64: d=0, cx=17
[MQ] Symbol #65: d=0, cx=17
[MQ] Symbol #66: d=0, cx=17
[MQ] Symbol #67: d=0, cx=17
[MQ] Symbol #68: d=0, cx=17
[MQ] Symbol #69: d=0, cx=17
[MQ] Symbol #70: d=0, cx=17
[MQ] Symbol #71: d=0, cx=17
[MQ] Symbol #72: d=0, cx=17
[MQ] Symbol #73: d=0, cx=17
[MQ] Symbol #74: d=0, cx=17
[MQ] Symbol #75: d=0, cx=17
[MQ] Symbol #76: d=0, cx=17
[MQ] Symbol #77: d=0, cx=17
[MQ] Symbol #78: d=0, cx=17
[MQ] Symbol #79: d=0, cx=17
[MQ] Symbol #80: d=0, cx=17
[MQ] Symbol #81: d=0, cx=17
[MQ] Symbol #82: d=0, cx=17
[MQ] Symbol #83: d=0, cx=17
[MQ] Symbol #84: d=0, cx=17
[MQ] Symbol #85: d=0, cx=17
[MQ] Symbol #86: d=0, cx=17
[MQ] Symbol #87: d=0, cx=17
[MQ] Symbol #88: d=0, cx=17
[MQ] Symbol #89: d=0, cx=17
[MQ] Symbol #90: d=0, cx=17
[MQ] Symbol #91: d=0, cx=17
[MQ] Symbol #92: d=0, cx=17
[MQ] Symbol #93: d=0, cx=17
[MQ] Symbol #94: d=0, cx=17
[MQ] Symbol #95: d=0, cx=17
[MQ] Symbol #96: d=0, cx=17
[MQ] Symbol #97: d=0, cx=17
[MQ] Symbol #98: d=0, cx=17
[MQ] Symbol #99: d=0, cx=17
[MQ] Symbol #100: d=0, cx=17
[MQ] Symbol #101: d=0, cx=17
[MQ] Symbol #102: d=0, cx=17
[MQ] Symbol #103: d=0, cx=17
[MQ] Symbol #104: d=0, cx=17
[MQ] Symbol #105: d=0, cx=17
[MQ] Symbol #106: d=0, cx=17
[MQ] Symbol #107: d=0, cx=17
[MQ] Symbol #108: d=0, cx=17
[MQ] Symbol #109: d=0, cx=17
[MQ] Symbol #110: d=0, cx=17
[MQ] Symbol #111: d=0, cx=17
[MQ] Symbol #112: d=0, cx=17
[MQ] Symbol #113: d=0, cx=17
[MQ] Symbol #114: d=0, cx=17
[MQ] Symbol #115: d=0, cx=17
[MQ] Symbol #116: d=0, cx=17
[MQ] Symbol #117: d=0, cx=17
[MQ] Symbol #118: d=0, cx=17
[MQ] Symbol #119: d=0, cx=17
[MQ] Symbol #120: d=0, cx=17
[MQ] Symbol #121: d=0, cx=17
[MQ] Symbol #122: d=0, cx=17
[MQ] Symbol #123: d=0, cx=17
[MQ] Symbol #124: d=0, cx=17
[MQ] Symbol #125: d=0, cx=17
[MQ] Symbol #126: d=0, cx=17
[MQ] Symbol #127: d=0, cx=17
[MQ] Symbol #128: d=0, cx=17
[MQ] Symbol #129: d=0, cx=17
[MQ] Symbol #130: d=0, cx=17
[MQ] Symbol #131: d=0, cx=17
[MQ] Symbol #132: d=0, cx=17
[MQ] Symbol #133: d=0, cx=17
[MQ] Symbol #134: d=0, cx=17
[MQ] Symbol #135: d=0, cx=17
[MQ] Symbol #136: d=0, cx=17
[MQ] Symbol #137: d=0, cx=17
[MQ] Symbol #138: d=0, cx=17
[MQ] Symbol #139: d=0, cx=17
[MQ] Symbol #140: d=0, cx=17
[MQ] Symbol #141: d=0, cx=17
[MQ] Symbol #142: d=0, cx=17
[MQ] Symbol #143: d=0, cx=17
[MQ] Symbol #144: d=0, cx=17
[MQ] Symbol #145: d=0, cx=17
[MQ] Symbol #146: d=0, cx=17
[MQ] Symbol #147: d=0, cx=17
[MQ] Symbol #148: d=0, cx=17
[MQ] Symbol #149: d=0, cx=17
[MQ] Symbol #150: d=0, cx=17
[MQ] Symbol #151: d=0, cx=17
[MQ] Symbol #152: d=0, cx=17
[MQ] Symbol #153: d=0, cx=17
[MQ] Symbol #154: d=0, cx=17
[MQ] Symbol #155: d=0, cx=17
[MQ] Symbol #156: d=0, cx=17
[MQ] Symbol #157: d=0, cx=17
[MQ] Symbol #158: d=0, cx=17
[MQ] Symbol #159: d=0, cx=17
[MQ] Symbol #160: d=0, cx=17
[MQ] Symbol #161: d=0, cx=17
[MQ] Symbol #162: d=0, cx=17
[MQ] Symbol #163: d=0, cx=17
[MQ] Symbol #164: d=0, cx=17
[MQ] Symbol #165: d=0, cx=17
[MQ] Symbol #166: d=0, cx=17
[MQ] Symbol #167: d=0, cx=17
[MQ] Symbol #168: d=0, cx=17
[MQ] Symbol #169: d=0, cx=17
[MQ] Symbol #170: d=0, cx=17
[MQ] Symbol #171: d=0, cx=17
[MQ] Symbol #172: d=0, cx=17
[MQ] Symbol #173: d=0, cx=17
[MQ] Symbol #174: d=0, cx=17
[MQ] Symbol #175: d=0, cx=17
[MQ] Symbol #176: d=0, cx=17
[MQ] Symbol #177: d=0, cx=17
[MQ] Symbol #178: d=0, cx=17
[MQ] Symbol #179: d=0, cx=17
[MQ] Symbol #180: d=0, cx=17
[MQ] Symbol #181: d=0, cx=17
[MQ] Symbol #182: d=0, cx=17
[MQ] Symbol #183: d=0, cx=17
[MQ] Symbol #184: d=0, cx=17
[MQ] Symbol #185: d=0, cx=17
[MQ] Symbol #186: d=0, cx=17
[MQ] Symbol #187: d=0, cx=17
[MQ] Symbol #188: d=0, cx=17
[MQ] Symbol #189: d=0, cx=17
[MQ] Symbol #190: d=0, cx=17
[MQ] Symbol #191: d=0, cx=17
[MQ] Symbol #192: d=0, cx=17
[MQ] Symbol #193: d=0, cx=17
[MQ] Symbol #194: d=0, cx=17
[MQ] Symbol #195: d=0, cx=17
[MQ] Symbol #196: d=0, cx=17
[MQ] Symbol #197: d=0, cx=17
[MQ] Symbol #198: d=0, cx=17
[MQ] Symbol #199: d=0, cx=17
[MQ] Symbol #200: d=0, cx=17
[MQ] Symbol #201: d=0, cx=17
[MQ] Symbol #202: d=0, cx=17
[MQ] Symbol #203: d=0, cx=17
[MQ] Symbol #204: d=0, cx=17
[MQ] Symbol #205: d=0, cx=17
[MQ] Symbol #206: d=0, cx=17
[MQ] Symbol #207: d=0, cx=17
[MQ] Symbol #208: d=0, cx=17
[MQ] Symbol #209: d=0, cx=17
[MQ] Symbol #210: d=0, cx=17
[MQ] Symbol #211: d=0, cx=17
[MQ] Symbol #212: d=0, cx=17
[MQ] Symbol #213: d=0, cx=17
[MQ] Symbol #214: d=0, cx=17
[MQ] Symbol #215: d=0, cx=17
[MQ] Symbol #216: d=0, cx=17
[MQ] Symbol #217: d=0, cx=17
[MQ] Symbol #218: d=0, cx=17
[MQ] Symbol #219: d=0, cx=17
[MQ] Symbol #220: d=0, cx=17
[MQ] Symbol #221: d=0, cx=17
[MQ] Symbol #222: d=0, cx=17
[MQ] Symbol #223: d=0, cx=17
[MQ] Symbol #224: d=0, cx=17
[MQ] Symbol #225: d=0, cx=17
[MQ] Symbol #226: d=0, cx=17
[MQ] Symbol #227: d=0, cx=17
[MQ] Symbol #228: d=0, cx=17
[MQ] Symbol #229: d=0, cx=17
[MQ] Symbol #230: d=0, cx=17
[MQ] Symbol #231: d=0, cx=17
[MQ] Symbol #232: d=0, cx=17
[MQ] Symbol #233: d=0, cx=17
[MQ] Symbol #234: d=0, cx=17
[MQ] Symbol #235: d=0, cx=17
[MQ] Symbol #236: d=0, cx=17
[MQ] Symbol #237: d=0, cx=17
[MQ] Symbol #238: d=0, cx=17
[MQ] Symbol #239: d=0, cx=17
[MQ] Symbol #240: d=0, cx=17
[MQ] Symbol #241: d=0, cx=17
[MQ] Symbol #242: d=0, cx=17
[MQ] Symbol #243: d=0, cx=17
[MQ] Symbol #244: d=0, cx=17
[MQ] Symbol #245: d=0, cx=17
[MQ] Symbol #246: d=0, cx=17
[MQ] Symbol #247: d=0, cx=17
[MQ] Symbol #248: d=0, cx=17
[MQ] Symbol #249: d=0, cx=17
[MQ] Symbol #250: d=0, cx=17
[MQ] Symbol #251: d=0, cx=17
[MQ] Symbol #252: d=0, cx=17
[MQ] Symbol #253: d=0, cx=17
[MQ] Symbol #254: d=0, cx=17
[MQ] Symbol #255: d=0, cx=17
[MQ] Symbol #256: d=0, cx=17
[MQ] Symbol #257: d=0, cx=17
[MQ] Symbol #258: d=0, cx=17
[MQ] Symbol #259: d=0, cx=17
[MQ] Symbol #260: d=0, cx=17
[MQ] Symbol #261: d=0, cx=17
[MQ] Symbol #262: d=0, cx=17
[MQ] Symbol #263: d=0, cx=17
[MQ] Symbol #264: d=0, cx=17
[MQ] Symbol #265: d=0, cx=17
[MQ] Symbol #266: d=0, cx=17
[MQ] Symbol #267: d=0, cx=17
[MQ] Symbol #268: d=0, cx=17
[MQ] Symbol #269: d=0, cx=17
[MQ] Symbol #270: d=0, cx=17
[MQ] Symbol #271: d=0, cx=17
[MQ] Symbol #272: d=0, cx=17
[MQ] Symbol #273: d=0, cx=17
[MQ] Symbol #274: d=0, cx=17
[MQ] Symbol #275: d=0, cx=17
[MQ] Symbol #276: d=0, cx=17
[MQ] Symbol #277: d=0, cx=17
[MQ] Symbol #278: d=0, cx=17
[MQ] Symbol #279: d=0, cx=17
[MQ] Symbol #280: d=0, cx=17
[MQ] Symbol #281: d=0, cx=17
[MQ] Symbol #282: d=0, cx=17
[MQ] Symbol #283: d=0, cx=17
[MQ] Symbol #284: d=0, cx=17
[MQ] Symbol #285: d=0, cx=17
[MQ] Symbol #286: d=0, cx=17
[MQ] Symbol #287: d=0, cx=17
[MQ] Symbol #288: d=0, cx=17
[MQ] Symbol #289: d=0, cx=17
[MQ] Symbol #290: d=0, cx=17
[MQ] Symbol #291: d=0, cx=17
[MQ] Symbol #292: d=0, cx=17
[MQ] Symbol #293: d=0, cx=17
[MQ] Symbol #294: d=0, cx=17
[MQ] Symbol #295: d=0, cx=17
[MQ] Symbol #296: d=0, cx=17
[MQ] Symbol #297: d=0, cx=17
[MQ] Symbol #298: d=0, cx=17
[MQ] Symbol #299: d=0, cx=17
[MQ] Symbol #300: d=0, cx=17
[MQ] Symbol #301: d=0, cx=17
[MQ] Symbol #302: d=0, cx=17
[MQ] Symbol #303: d=0, cx=17
[MQ] Symbol #304: d=0, cx=17
[MQ] Symbol #305: d=0, cx=17
[MQ] Symbol #306: d=0, cx=17
[MQ] Symbol #307: d=0, cx=17
[MQ] Symbol #308: d=0, cx=17
[MQ] Symbol #309: d=0, cx=17
[MQ] Symbol #310: d=0, cx=17
[MQ] Symbol #311: d=0, cx=17
[MQ] Symbol #312: d=0, cx=17
[MQ] Symbol #313: d=0, cx=17
[MQ] Symbol #314: d=0, cx=17
[MQ] Symbol #315: d=0, cx=17
[MQ] Symbol #316: d=0, cx=17
[MQ] Symbol #317: d=0, cx=17
[MQ] Symbol #318: d=0, cx=17
[MQ] Symbol #319: d=0, cx=17
[MQ] Symbol #320: d=0, cx=17
[MQ] Symbol #321: d=0, cx=17
[MQ] Symbol #322: d=0, cx=17
[MQ] Symbol #323: d=0, cx=17
[MQ] Symbol #324: d=0, cx=17
[MQ] Symbol #325: d=0, cx=17
[MQ] Symbol #326: d=0, cx=17
[MQ] Symbol #327: d=0, cx=17
[MQ] Symbol #328: d=0, cx=17
[MQ] Symbol #329: d=0, cx=17
[MQ] Symbol #330: d=0, cx=17
[MQ] Symbol #331: d=0, cx=17
[MQ] Symbol #332: d=0, cx=17
[MQ] Symbol #333: d=0, cx=17
[MQ] Symbol #334: d=0, cx=17
[MQ] Symbol #335: d=0, cx=17
[MQ] Symbol #336: d=0, cx=17
[MQ] Symbol #337: d=0, cx=17
[MQ] Symbol #338: d=0, cx=17
[MQ] Symbol #339: d=0, cx=17
[MQ] Symbol #340: d=0, cx=17
[MQ] Symbol #341: d=0, cx=17
[MQ] Symbol #342: d=0, cx=17
[MQ] Symbol #343: d=0, cx=17
[MQ] Symbol #344: d=0, cx=17
[MQ] Symbol #345: d=0, cx=17
[MQ] Symbol #346: d=0, cx=17
